id,name,link,categories,county,region,city,street,zip,country,latitude,longitude,phone,email,website,facebook,instagram,linkedin,description,featured_image,date_added
8425,3 different styles of yoga classes in Gorey Co.Wexford,https://dostuff.ie/providerpages/3-different-styles-of-yoga-classes-in-gorey-co-wexford/,"Breathwork & Pranayama, Hatha Yoga, Meditation, Mindfulness, Vinyasa Flow, Wellbeing, Wellness Retreats",Wexford,County Wexford,Gorey,Gorey corporation lands,Y25 V6P6,Ireland,52.6747425,-6.2959234,0851280870,lk_yoga@yahoo.com,https://lkyoga.ie,https://www.facebook.com/lk_yoga_,https://www.instagram.com/lk_yoga_,,Hi I’m Lauren from LK YOGA and I teach weekly classes in The Olive Room in The Palms Health & Well-being Centre Gorey. Tuesday 6.30-8pm Relaxing Yoga & Yoga Nidra Meditation Thursday 9.30-11am Hatha Yoga & Yoga Nidra Meditation Friday 7-8am Vinyasa Flow Classes are suitable for all levels including complete beginners All mats & props provided Drop in €16 (prebooking essential) 5 week block 90min class €70 5week block 60 min class €60 5 flexi class pass €75 TXT 0851280870 DM/PM @lk_yoga_,https://dostuff.ie/wp-content/uploads/2026/06/IMG_2340.jpeg,2026-06-17T09:51:41
8178,ART JAM STUDIO,https://dostuff.ie/providerpages/art-jam-studio/,"Adult Art, Craft and Making, Art, Craft & Making, Painting, Pottery & Ceramics",Kerry,County Kerry,Killarney,"22A New Street, Killarney",V93 N793,,51.705042897491,-8.5358957558187,+353860615695,info@artjam.ie,https://www.artjam.ie,https://www.facebook.com/artjamireland,https://www.instagram.com/art_jam_ireland,,"Art Jam Studio Killarney is a new creative space for adults to attend once off creative activities such as Paint & Sip and Sculpt & Sip along with drop in sessions during the day to paint your own pottery, mindful art, collage making, splash art. tote bag painting etc. Also providing pottery classes, abstract art classes, mindful & intuitive art classes. There will be a range of drop in creative activities and classes - something for everyone and a unique space in the centre of Killarney town.",https://dostuff.ie/wp-content/uploads/2026/05/Copy-of-Pink-Circle-Text-Logo-2.png,2026-05-31T18:18:52
6714,Ability Fitness Sligo,https://dostuff.ie/providerpages/ability-fitness-sligo/,"Fitness & Sports, Intellectual Disability Supported Inclusion",Sligo,County Sligo,Sligo,"Snap Fitness Sligo, Unit 9",F91 N522,Ireland,54.2496801,-8.470979,0838958141,jenna.abilityfitnesssligo@gmail.com,,,https://www.instagram.com/abilityfitnesssligo?igsh=MXZnbWw0bW9jOHhidg%3D%3D&utm_source=qr,,"Inclusive fitness classes held in Snapfitness Sligo for adults with autism/additional needs who prefer a sensory friendly environment. Low arousal, low impact and inclusive. Run by a hca (Jenna) in disability services qualified in low arousal training (studio 3 trainer) and all necessary up to date certificate (first aid, CPR, medication, epilepsy) alongside two gym instructors from Snapfitness Robbie and Laura.",https://dostuff.ie/wp-content/uploads/2026/03/IMG_5977.jpeg,2026-03-04T11:43:21
7815,Acting Classes Dublin and Online,https://dostuff.ie/providerpages/acting-classes-dublin-and-online/,"Acting & Drama, Music, Drama & Performance, Professional Development (CPD)",Dublin,County Dublin,Dublin 1,1 Foley St Dublin 1 D01 WA07 Foley St,D01 WA07,Ireland,53.3527936,-6.2492934,+353877596715,scottdavidmichael@gmail.com,https://davidscott.ie/,https://www.facebook.com/share/1JNd6mmZ7U/?mibextid=wwXIfr,https://www.facebook.com/share/1JNd6mmZ7U/?mibextid=wwXIfr,,"The Actors Wednesday Workshop and The Actors Friday Studio, The Summer Week Intensive and online one to one training. The Applied Art of Acting. Acting classes running in Dublin for over 15 years, taught by David Scott. Corporate training. www.davidscott.ie E. scottdavidmichael@gmail.com",https://dostuff.ie/wp-content/uploads/2026/05/IMG_8154.jpeg,2026-05-07T17:17:56
6426,Acting Workshops Baldoyle D13,https://dostuff.ie/providerpages/acting-workshops-baldoyle-d13/,"Acting & Drama, Adult Learning, DIY, Life Skills, Audition Preparation, Music, Drama & Performance, Public Speaking & Presentation",Dublin,County Dublin,Dublin,"Baldoyle Racecourse Community Centre, d13 x226",D13PK63,Ireland,53.4001804,-6.1372329,0868742749,wm.morgan@gmail.com,https://www.actorwilliammorgan.com,https://www.facebook.com/actorwilliammorgan,https://www.instagram.com/actorwilliammorgan,https://www.linkedin.com/in/actorwilliammorgan/,"A no nonsense approach to the art of acting. Workshops are designed for actors of all levels of experience and for those without any previous experience who are keen to unleash their creative side. The workshops will cover character development, script analysis and delivering an authentic performance for both stage and screen. In a fun, safe space, the workshops will improve your communication skills , public speaking , self-confidence , self-esteem and resilience . You will be encouraged to push yourself out of your comfort zone and approach each session with an open mind.",https://dostuff.ie/wp-content/uploads/2026/02/DoStuff-1.png,2026-02-24T11:16:15
6423,Acting Workshops – Dublin 2,https://dostuff.ie/providerpages/acting-workshops/,"Acting & Drama, Adult Learning, DIY, Life Skills, Audition Preparation, Public Speaking & Presentation",Dublin,County Dublin,Dublin 2,"The Pearse Centre, 27 Pearse St",D13PK63,Ireland,53.3450737,-6.2534374,0868742749,wm.morgan@gmail.com,https://www.actorwilliammorgan.com,https://www.facebook.com/actorwilliammorgan,https://www.instagram.com/actorwilliammorgan,https://www.linkedin.com/in/actorwilliammorgan/,"A no nonsense approach to the art of acting. Workshops are designed for actors of all levels of experience and for those without any previous experience who are keen to unleash their creative side. The workshops will cover character development, script analysis and delivering an authentic performance for both stage and screen. In a fun, safe space, the workshops will improve your communication skills , public speaking , self-confidence , self-esteem and resilience . You will be encouraged to push yourself out of your comfort zone and approach each session with an open mind.",https://dostuff.ie/wp-content/uploads/2026/02/DoStuff.png,2026-02-24T11:11:29
5643,Activities with Support for Intellectual Disabilities,https://dostuff.ie/providerpages/activities-with-support-for-intellectual-disabilities/,Intellectual Disability Supported Inclusion,"Online,Antrim,Armagh,Carlow,Cavan,Clare,Cork,Derry,Donegal,Down,Dublin,Fermanagh,Galway,Kerry,Kildare,Kilkenny,Laois,Leitrim,Limerick,Longford,Louth,Mayo,Meath,Monaghan,Offaly,Roscommon,Sligo,Tipperary,Tyrone,Waterford,Westmeath,Wexford,Wicklow",,,,,,,,,,,,,,"This category will be populated with activities by individuals, community groups and organisations which have the necessary supports to enable children and adults with an intellectual disability to take part. Add your activity here",https://dostuff.ie/wp-content/uploads/2026/07/B2EA6C2F-6AB2-4022-BF2F-D287C4F243FE.jpg,2026-01-23T13:11:44
6129,Adult Beginner Piano Class,https://dostuff.ie/providerpages/adult-beginner-piano-class/,"Adult Learning, DIY, Life Skills, Keyboard, Music School, Music Theory, Music, Drama & Performance, Piano",Westmeath,County Westmeath,Kilbeggan,,,Ireland,53.3650473,-7.49398,,info@ainenol.com,,https://www.facebook.com/ainenolan.com,https://www.instagram.com/ainenolan.com_piano,,"A relaxed, supportive space where you can take time each week just for you. Discover the joy of making music and learning something new with like-minded adults. No experience needed and no age limit! Classes take place in a small group setting in Kilbeggan, Co. Westmeath and are personally led by Áine Nolan PhD - 20+ years teaching experience. Limited availability! Email info@ainenolan.com to secure your place.",https://dostuff.ie/wp-content/uploads/2025/07/Do-Stuff-Music-And-Performance-1920x1280-1.webp,2026-02-10T10:58:12
9759,Afterschool service,https://dostuff.ie/providerpages/afterschool-service/,"Afterschool Clubs, Camps & Afterschool, Homework Clubs",Dublin,County Dublin,Dublin,Firhouse,D24,Ireland,53.2823254,-6.3415209,,juniorexplorers1@hotmail.com,,,https://www.instagram.com/juniorexplorers_1?igsh=MW1iNWFzb2hkMXhjcA%3D%3D&utm_source=qr,,"Afterschool collection and care, homework support, healthy snack provided and lots of fun indoor and outdoor activities.",https://dostuff.ie/wp-content/uploads/2026/07/ISIMG-789124.jpeg,2026-07-21T18:58:40
8265,Alize’s School of Singing,https://dostuff.ie/providerpages/alizes-school-of-singing/,"Choirs & Ensembles, Guitar, Music, Drama & Performance, Musical Theatre, Piano, Singing & Vocal Coaching, Ukulele",Kilkenny,County Kilkenny,Kilkenny,"Danville Business Park, Ring Rd",,Ireland,52.6356196,-7.2351915,,admin@schoolofsinging.ie,http://www.schoolofsinging.ie,https://www.facebook.com/share/1LEe8q7cGX/?mibextid=wwXIfr,https://www.instagram.com/alizes_school_of_singing?utm_source=qr,,"Alize’s School of Singing is an award-winning music and performing arts school based in Kilkenny, dedicated to building confidence, creativity, and performance skills in children, teens, and adults. Founded by Alize Comerford, the school offers expert tuition in singing, drama, musical theatre, piano, guitar, ukulele, pop choir, and performance training in a fun, supportive, and encouraging environment.",https://dostuff.ie/wp-content/uploads/2026/06/38330.png,2026-06-07T18:23:05
